-54,21,24,-12,76,-7,1,-52,-29,64,-57,24,6,-63,-73,15,-2,-56,1,-7,79,61,74,3,31,-34,5,40,-53,-89,30,52,25,-61,-20,78,37,-11,10,5,-12,12,15,54,-67,50,-50,-17,15,-59,58,-55,58,49,-35,-3,17,25,29,41,-40,-79,15,-28,3,39,-25,30,-59,-56,47,13,48,40,28,-39,-56,-2,-3,-37,-62,-12,-15,-8
40,20,-50,7,25,23,42,-1,-14,13,-54,112,51,-37,-48,-75,-13,46,-59,33,87,-28,-92,-67,-15,34,23,38,28,0,53,77,73,-24,59,65,-57,78,98,13,69,-58,-67,-60,23,31,-77,13,5,-19,36,20,4,-1,37,43,37,-12,-78,4,-29,-34,1,-23,-5,-11,45,69,82,25,-120,-7,14,20,1,-3,-17,9,31,-26,25,11,-12,-28
3,-100,6,66,9,11,-14,-33,26,-29,-98,49,7,-43,-72,-81,-66,-49,-44,-86,39,50,66,16,16,-88,13,-101,32,12,23,63,-27,-5,9,50,50,-29,-7,41,-28,79,-106,82,8,-67,64,16,-47,-11,1,-47,89,-37,-18,-7,-25,-9,12,18,-69,-15,11,-44,-3,59,80,51,-80,-5,-10,23,-122,16,-46,16,-11,-19,-39,26,45,9,48,-36
-72,-60,-7,43,59,-75,75,19,-18,71,-2,29,15,-1,-4,-90,10,75,-37,38,71,-3,56,-27,7,-59,64,-46,22,-40,-38,-20,-9,58,-56,-63,28,-45,23,-47,43,100,9,-41,-26,84,66,87,8,-67,-22,-12,12,29,-35,-66,53,96,-25,61,-60,51,-21,50,81,54,60,11,-98,38,-81,-7,-84,-10,37,9,-58,12,-44,57,-17,-4,-25,-31
-59,-37,43,55,45,30,44,58,-60,12,-16,-108,38,63,24,55,64,-59,-32,27,13,-37,2,26,41,56,-25,-46,-14,30,12,6,-25,-23,-77,53,11,-13,-90,-80,46,2,42,-13,-58,-14,38,-75,-56,-75,20,10,-48,41,25,2,-70,-42,80,-26,16,44,-25,86,-73,53,36,32,-36,-49,2,52,25,-61,49,-32,34,15,17,61,9,-49,-3,15
8,99,-83,-92,45,18,-19,17,-43,7,86,2,11,51,-41,7,-63,23,116,-31,4,122,-109,-3,120,-43,-19,45,34,42,5,40,-4,48,-1,-15,44,42,-33,-82,117,-63,-20,-91,8,-73,-53,28,57,59,122,-123,-63,106,-8,3,81,126,-10,119,39,-72,-30,34,26,-61,2,67,116,68,-91,33,-8,112,-10,-115,14,71,-9,-26,-13,122,84,78
34,42,-14,-84,88,12,-115,28,-62,-11,-6,-9,-26,-56,8,38,-18,-27,16,-15,26,24,-47,-71,5,-118,-50,27,4,46,72,6,-71,7,95,9,77,33,20,-34,62,-111,96,1,19,-82,15,-60,116,-64,62,-87,-37,-7,62,20,-70,10,95,48,-56,44,80,29,-27,-102,-14,33,67,85,-49,108,33,115,-61,-57,30,102,93,-48,106,91,123,60
48,75,76,-42,-59,76,-28,-73,35,-19,34,-30,-18,62,21,105,30,27,50,13,50,47,-70,10,-8,-77,62,96,59,90,14,-85,70,57,95,4,54,118,-10,45,23,-30,124,21,69,42,-75,94,-121,3,29,6,-49,-9,45,50,9,-67,81,8,76,-32,33,-31,108,-67,-55,72,86,-80,-34,-32,27,74,-68,4,16,13,41,40,-98,47,-27,-31
-12,-18,-33,-51,-60,9,13,-1,20,-48,62,-2,-15,11,-42,19,-45,18,7,-34,36,-59,7,-67,-27,-30,-47,-76,36,59,-7,55,-35,-10,32,21,-30,-12,53,-57,-16,-60,-75,-27,63,-74,-17,33,-3,8,-12,-37,-68,-33,74,44,-68,23,-14,0,-74,-45,27,-23,-69,-14,77,40,-73,20,-9,39,6,-30,11,-17,29,-57,-35,16,20,25,7,-3
36,-1,74,-47,-51,-105,-55,-30,47,-48,-25,14,18,25,-44,23,87,46,88,37,-60,38,75,-12,-20,82,-27,52,22,-11,-23,-37,-19,-55,17,-29,-10,-19,5,-29,-48,-38,21,-20,-2,-11,27,-39,10,113,4,40,-5,5,-9,-47,-24,12,5,30,-2,-67,18,-64,-19,-4,-30,-67,52,25,8,-75,-4,29,-10,52,-43,68,39,-48,-73,25,-10,-53
-5,-73,-4,-48,54,-75,-90,6,-7,-60,-51,-17,8,5,34,43,-20,-2,52,2,-85,10,48,-7,-10,114,-42,15,-13,-75,-26,-57,42,-55,-56,-66,-37,22,-43,23,-29,11,7,-26,39,-18,51,-28,-51,45,27,-10,51,-54,50,60,-1,-39,52,-36,94,-29,48,-51,-14,-16,-80,-9,-46,-60,3,32,-39,-49,-26,9,30,-27,34,98,7,49,9,-38
-53,-30,75,-43,-87,-60,-35,-45,78,27,4,-46,34,-2,28,-2,48,-61,49,17,35,3,-17,11,-12,-40,-45,-104,32,71,-55,-54,-55,-55,46,64,-11,-61,32,-16,-94,-62,-49,90,23,30,10,-1,-59,-6,30,29,3,15,-80,12,-3,37,113,5,18,48,45,1,-8,49,22,-55,-89,22,42,-32,-42,-29,-40,21,1,-53,-25,-33,-54,8,69,-15
24,43,6,42,18,-80,4,-38,-7,72,-39,12,35,-56,-57,-42,66,-4,6,24,82,-46,51,-80,-31,40,-9,9,-47,-90,11,19,43,-71,-27,118,-59,-55,3,-37,-30,11,26,33,27,70,48,22,4,53,19,14,14,-61,-48,-33,-27,-66,29,-38,-68,-53,-25,33,-16,2,50,-76,-75,-46,8,7,61,-7,-35,-16,-43,49,60,-52,68,-10,-91,8
-58,-52,1,-14,63,-96,-28,-45,-17,38,50,-85,-80,-4,-33,23,-29,-17,61,44,17,38,52,19,-5,9,-22,-17,-30,-23,-27,36,-46,-75,-66,16,84,-83,-11,-33,-7,-46,-53,19,-32,-48,65,-69,54,-46,54,-50,-40,-2,-23,31,-57,47,77,-13,52,9,-73,50,-5,20,-58,16,-52,-16,-16,-42,-61,38,-13,-73,-21,-48,15,-53,23,5,59,-27
-114,-54,100,60,22,38,-35,-39,22,49,-17,-88,-83,-18,-34,-3,38,-33,-27,17,21,-30,-16,-125,17,-44,58,-113,-54,-13,11,64,-20,16,44,101,59,-5,18,59,-58,-16,35,-49,68,-37,1,51,-88,23,40,0,-62,-29,-95,-71,79,-10,115,-39,-14,63,18,-6,11,14,32,-57,-64,-45,70,-30,57,-52,1,-63,-102,55,25,-44,-4,-37,42,59
27,24,-28,-54,-13,-78,-7,-58,-76,-52,-2,80,75,-82,-53,-97,8,86,-15,-41,-13,75,-29,63,31,76,-28,69,37,-16,-32,-60,38,-14,23,-56,9,-14,79,57,38,10,-15,13,-2,-25,23,58,-32,20,-14,43,-46,24,-7,-46,64,52,-51,74,18,-27,-59,-68,47,4,-21,-32,14,58,-39,0,-31,44,21,2,-53,43,-26,-29,-90,-1,-55,-33
-58,-18,29,31,55,-11,-17,-3,9,52,-50,-31,32,-45,-46,7,7,-52,40,53,15,69,-75,-13,-15,-71,-12,-44,28,-16,23,41,29,36,32,-33,32,1,45,-7,0,-65,-52,-5,1,-77,-65,-68,28,55,38,-49,-37,15,-1,13,1,22,-39,15,-15,-57,-1,12,17,40,-18,-31,-39,-16,-73,-14,-58,52,-7,-37,45,43,-22,-43,76,29,64,26
